ID;RegioS;Naam_2;SorteringNaam_3;Naam_29;ID;Gemeente;Provincie;Officiële Website (Publieksdienstverlening)
150;GM0542;Krimpen aan den IJssel                            ;Krimpen aan den IJssel                            ;Zuid-Holland                                      ;150;Krimpen aan den IJssel;Zuid-Holland;https://www.krimpenaandenijssel.nl
151;GM1931;Krimpenerwaard                                    ;Krimpenerwaard                                    ;Zuid-Holland                                      ;151;Krimpenerwaard;Zuid-Holland;https://www.krimpenerwaard.nl
152;GM1659;Laarbeek                                          ;Laarbeek                                          ;Noord-Brabant                                     ;152;Laarbeek;Noord-Brabant;https://www.laarbeek.nl
153;GM1982;Land van Cuijk                                    ;Land+van+Cuijk                                    ;Noord-Brabant                                     ;153;Land van Cuijk;Noord-Brabant;https://www.landvancuijk.nl
154;GM0882;Landgraaf                                         ;Landgraaf                                         ;Limburg                                           ;154;Landgraaf;Limburg;https://www.landgraaf.nl
155;GM0415;Landsmeer                                         ;Landsmeer                                         ;Noord-Holland                                     ;155;Landsmeer;Noord-Holland;https://www.landsmeer.nl
156;GM1621;Lansingerland                                     ;Lansingerland                                     ;Zuid-Holland                                      ;156;Lansingerland;Zuid-Holland;https://www.lansingerland.nl
157;GM0417;Laren (NH.)                                       ;Laren (NH.)                                       ;Noord-Holland                                     ;157;Laren (NH.);Noord-Holland;https://www.laren.nl
158;GM0080;Leeuwarden                                        ;Leeuwarden                                        ;Fryslân                                           ;158;Leeuwarden;Fryslân;https://www.leeuwarden.nl
159;GM0546;Leiden                                            ;Leiden                                            ;Zuid-Holland                                      ;159;Leiden;Zuid-Holland;https://www.leiden.nl
160;GM0547;Leiderdorp                                        ;Leiderdorp                                        ;Zuid-Holland                                      ;160;Leiderdorp;Zuid-Holland;https://www.leiderdorp.nl
161;GM1916;Leidschendam-Voorburg                             ;Leidschendam+Voorburg                             ;Zuid-Holland                                      ;161;Leidschendam-Voorburg;Zuid-Holland;https://www.lv.nl
