"ID";"RegioS";"Naam_2";"SorteringNaam_3";"Naam_29"
"140";"GM0321    ";"Houten                                            ";"Houten                                            ";"Utrecht                                           "
"141";"GM0406    ";"Huizen                                            ";"Huizen                                            ";"Noord-Holland                                     "
"142";"GM0677    ";"Hulst                                             ";"Hulst                                             ";"Zeeland                                           "
"143";"GM0353    ";"IJsselstein                                       ";"IJsselstein                                       ";"Utrecht                                           "
"144";"GM1884    ";"Kaag en Braassem                                  ";"Kaag                                              ";"Zuid-Holland                                      "
"145";"GM0166    ";"Kampen                                            ";"Kampen                                            ";"Overijssel                                        "
"146";"GM0678    ";"Kapelle                                           ";"Kapelle                                           ";"Zeeland                                           "
"147";"GM0537    ";"Katwijk                                           ";"Katwijk                                           ";"Zuid-Holland                                      "
"148";"GM0928    ";"Kerkrade                                          ";"Kerkrade                                          ";"Limburg                                           "
"149";"GM1598    ";"Koggenland                                        ";"Koggenland                                        ";"Noord-Holland                                     "
"150";"GM0542    ";"Krimpen aan den IJssel                            ";"Krimpen aan den IJssel                            ";"Zuid-Holland                                      "
"151";"GM1931    ";"Krimpenerwaard                                    ";"Krimpenerwaard                                    ";"Zuid-Holland                                      "
"152";"GM1659    ";"Laarbeek                                          ";"Laarbeek                                          ";"Noord-Brabant                                     "
"153";"GM1982    ";"Land van Cuijk                                    ";"Land+van+Cuijk                                    ";"Noord-Brabant                                     "
"154";"GM0882    ";"Landgraaf                                         ";"Landgraaf                                         ";"Limburg                                           "
"155";"GM0415    ";"Landsmeer                                         ";"Landsmeer                                         ";"Noord-Holland                                     "
"156";"GM1621    ";"Lansingerland                                     ";"Lansingerland                                     ";"Zuid-Holland                                      "
"157";"GM0417    ";"Laren (NH.)                                       ";"Laren (NH.)                                       ";"Noord-Holland                                     "
"158";"GM0080    ";"Leeuwarden                                        ";"Leeuwarden                                        ";"Fryslân                                           "
"159";"GM0546    ";"Leiden                                            ";"Leiden                                            ";"Zuid-Holland                                      "
"160";"GM0547    ";"Leiderdorp                                        ";"Leiderdorp                                        ";"Zuid-Holland                                      "
"161";"GM1916    ";"Leidschendam-Voorburg                             ";"Leidschendam+Voorburg                             ";"Zuid-Holland                                      "
"162";"GM0995    ";"Lelystad                                          ";"Lelystad                                          ";"Flevoland                                         "
"163";"GM1640    ";"Leudal                                            ";"Leudal                                            ";"Limburg                                           "
"164";"GM0327    ";"Leusden                                           ";"Leusden                                           ";"Utrecht                                           "
"165";"GM1705    ";"Lingewaard                                        ";"Lingewaard                                        ";"Gelderland                                        "
"166";"GM0553    ";"Lisse                                             ";"Lisse                                             ";"Zuid-Holland                                      "
"167";"GM0262    ";"Lochem                                            ";"Lochem                                            ";"Gelderland                                        "
"168";"GM0809    ";"Loon op Zand                                      ";"Loon op Zand                                      ";"Noord-Brabant                                     "
"169";"GM0331    ";"Lopik                                             ";"Lopik                                             ";"Utrecht                                           "
"170";"GM0168    ";"Losser                                            ";"Losser                                            ";"Overijssel                                        "
"171";"GM0263    ";"Maasdriel                                         ";"Maasdriel                                         ";"Gelderland                                        "
"172";"GM1641    ";"Maasgouw                                          ";"Maasgouw                                          ";"Limburg                                           "
"173";"GM1991    ";"Maashorst                                         ";"Maashorst                                         ";"Noord-Brabant                                     "
"174";"GM0556    ";"Maassluis                                         ";"Maassluis                                         ";"Zuid-Holland                                      "
"175";"GM0935    ";"Maastricht                                        ";"Maastricht                                        ";"Limburg                                           "
"176";"GM0420    ";"Medemblik                                         ";"Medemblik                                         ";"Noord-Holland                                     "
"177";"GM0938    ";"Meerssen                                          ";"Meerssen                                          ";"Limburg                                           "
"178";"GM1948    ";"Meierijstad                                       ";"Meierijstad                                       ";"Noord-Brabant                                     "
"179";"GM0119    ";"Meppel                                            ";"Meppel                                            ";"Drenthe                                           "
"180";"GM0687    ";"Middelburg (Z.)                                   ";"Middelburg (Z.)                                   ";"Zeeland                                           "
"181";"GM1842    ";"Midden-Delfland                                   ";"Midden+Delfland                                   ";"Zuid-Holland                                      "
"182";"GM1731    ";"Midden-Drenthe                                    ";"Midden+Drenthe                                    ";"Drenthe                                           "
"183";"GM1952    ";"Midden-Groningen                                  ";"Midden+Groningen                                  ";"Groningen                                         "
"184";"GM1709    ";"Moerdijk                                          ";"Moerdijk                                          ";"Noord-Brabant                                     "
"185";"GM1978    ";"Molenlanden                                       ";"Molenlanden                                       ";"Zuid-Holland                                      "
"186";"GM1955    ";"Montferland                                       ";"Montferland                                       ";"Gelderland                                        "
"187";"GM0335    ";"Montfoort                                         ";"Montfoort                                         ";"Utrecht                                           "
"188";"GM0944    ";"Mook en Middelaar                                 ";"Mook en Middelaar                                 ";"Limburg                                           "
"189";"GM1740    ";"Neder-Betuwe                                      ";"Neder+Betuwe                                      ";"Gelderland                                        "
"190";"GM0946    ";"Nederweert                                        ";"Nederweert                                        ";"Limburg                                           "
"191";"GM0356    ";"Nieuwegein                                        ";"Nieuwegein                                        ";"Utrecht                                           "
"192";"GM0569    ";"Nieuwkoop                                         ";"Nieuwkoop                                         ";"Zuid-Holland                                      "
"193";"GM0267    ";"Nijkerk                                           ";"Nijkerk                                           ";"Gelderland                                        "
"194";"GM0268    ";"Nijmegen                                          ";"Nijmegen                                          ";"Gelderland                                        "
"195";"GM1930    ";"Nissewaard                                        ";"Nissewaard                                        ";"Zuid-Holland                                      "
"196";"GM1970    ";"Noardeast-Fryslân                                 ";"Noardeast+Fryslân                                 ";"Fryslân                                           "
"197";"GM1695    ";"Noord-Beveland                                    ";"Noord+Beveland                                    ";"Zeeland                                           "
"198";"GM1699    ";"Noordenveld                                       ";"Noordenveld                                       ";"Drenthe                                           "
"199";"GM0171    ";"Noordoostpolder                                   ";"Noordoostpolder                                   ";"Flevoland                                         "
"200";"GM0575    ";"Noordwijk                                         ";"Noordwijk                                         ";"Zuid-Holland                                      "
"201";"GM0820    ";"Nuenen, Gerwen en Nederwetten                     ";"Nuenen, Gerwen en Nederwetten                     ";"Noord-Brabant                                     "
"202";"GM0302    ";"Nunspeet                                          ";"Nunspeet                                          ";"Gelderland                                        "
"203";"GM0579    ";"Oegstgeest                                        ";"Oegstgeest                                        ";"Zuid-Holland                                      "
"204";"GM0823    ";"Oirschot                                          ";"Oirschot                                          ";"Noord-Brabant                                     "
"205";"GM0824    ";"Oisterwijk                                        ";"Oisterwijk                                        ";"Noord-Brabant                                     "
"206";"GM1895    ";"Oldambt                                           ";"Oldambt                                           ";"Groningen                                         "
"207";"GM0269    ";"Oldebroek                                         ";"Oldebroek                                         ";"Gelderland                                        "
"208";"GM0173    ";"Oldenzaal                                         ";"Oldenzaal                                         ";"Overijssel                                        "
"209";"GM1773    ";"Olst-Wijhe                                        ";"Olst+Wijhe                                        ";"Overijssel                                        "
